Demographic,Year,Period,Month,Unemployment_rate,date
White,2021,M06,Jun,5.3,6/1/2021
White,2021,M07,Jul,4.8,7/1/2021
White,2021,M08,Aug,4.5,8/1/2021
White,2021,M09,Sep,4.2,9/1/2021
White,2021,M10,Oct,3.9,10/1/2021
White,2021,M11,Nov,3.7,11/1/2021
White,2021,M12,Dec,3.2,12/1/2021
Women,2010,M01,Jan,7.9,1/1/2010
Women,2010,M02,Feb,8,2/1/2010
Women,2010,M03,Mar,8.1,3/1/2010
Women,2010,M04,Apr,8.3,4/1/2010
Women,2010,M05,May,8.1,5/1/2010
Women,2010,M06,Jun,7.7,6/1/2010
Women,2010,M07,Jul,7.9,7/1/2010
Women,2010,M08,Aug,8,8/1/2010
Women,2010,M09,Sep,8,9/1/2010
Women,2010,M10,Oct,8,10/1/2010
Women,2010,M11,Nov,8.4,11/1/2010
Women,2010,M12,Dec,8,12/1/2010
Women,2011,M01,Jan,7.9,1/1/2011
Women,2011,M02,Feb,7.9,2/1/2011
Women,2011,M03,Mar,7.8,3/1/2011
Women,2011,M04,Apr,8,4/1/2011
Women,2011,M05,May,8,5/1/2011
Women,2011,M06,Jun,8,6/1/2011
Women,2011,M07,Jul,7.9,7/1/2011
Women,2011,M08,Aug,7.9,8/1/2011
Women,2011,M09,Sep,8.2,9/1/2011
Women,2011,M10,Oct,7.8,10/1/2011
Women,2011,M11,Nov,7.8,11/1/2011
Women,2011,M12,Dec,7.8,12/1/2011
Women,2012,M01,Jan,7.6,1/1/2012
Women,2012,M02,Feb,7.6,2/1/2012
Women,2012,M03,Mar,7.4,3/1/2012
Women,2012,M04,Apr,7.4,4/1/2012
Women,2012,M05,May,7.4,5/1/2012
Women,2012,M06,Jun,7.4,6/1/2012
Women,2012,M07,Jul,7.4,7/1/2012
Women,2012,M08,Aug,7.3,8/1/2012
Women,2012,M09,Sep,7.1,9/1/2012
Women,2012,M10,Oct,7.1,10/1/2012
Women,2012,M11,Nov,7,11/1/2012
Women,2012,M12,Dec,7.4,12/1/2012
Women,2013,M01,Jan,7.2,1/1/2013
Women,2013,M02,Feb,7,2/1/2013
Women,2013,M03,Mar,6.9,3/1/2013
Women,2013,M04,Apr,6.7,4/1/2013
Women,2013,M05,May,6.5,5/1/2013
Women,2013,M06,Jun,6.8,6/1/2013
Women,2013,M07,Jul,6.3,7/1/2013
Women,2013,M08,Aug,6.2,8/1/2013
Women,2013,M09,Sep,6.2,9/1/2013
Women,2013,M10,Oct,6.3,10/1/2013
Women,2013,M11,Nov,6.2,11/1/2013
Women,2013,M12,Dec,6.1,12/1/2013
Women,2014,M01,Jan,5.8,1/1/2014
Women,2014,M02,Feb,5.9,2/1/2014
Women,2014,M03,Mar,6.2,3/1/2014
Women,2014,M04,Apr,5.6,4/1/2014
Women,2014,M05,May,5.8,5/1/2014
Women,2014,M06,Jun,5.3,6/1/2014
Women,2014,M07,Jul,5.6,7/1/2014
Women,2014,M08,Aug,5.6,8/1/2014
Women,2014,M09,Sep,5.5,9/1/2014
Women,2014,M10,Oct,5.4,10/1/2014
Women,2014,M11,Nov,5.3,11/1/2014
Women,2014,M12,Dec,5.1,12/1/2014
Women,2015,M01,Jan,5,1/1/2015
Women,2015,M02,Feb,4.9,2/1/2015
Women,2015,M03,Mar,4.9,3/1/2015
Women,2015,M04,Apr,5,4/1/2015
Women,2015,M05,May,5.1,5/1/2015
Women,2015,M06,Jun,4.7,6/1/2015
Women,2015,M07,Jul,4.8,7/1/2015
Women,2015,M08,Aug,4.6,8/1/2015
Women,2015,M09,Sep,4.6,9/1/2015
Women,2015,M10,Oct,4.6,10/1/2015
Women,2015,M11,Nov,4.6,11/1/2015
Women,2015,M12,Dec,4.5,12/1/2015
Women,2016,M01,Jan,4.5,1/1/2016
Women,2016,M02,Feb,4.5,2/1/2016
Women,2016,M03,Mar,4.7,3/1/2016
Women,2016,M04,Apr,4.6,4/1/2016
Women,2016,M05,May,4.3,5/1/2016
Women,2016,M06,Jun,4.4,6/1/2016
Women,2016,M07,Jul,4.1,7/1/2016
Women,2016,M08,Aug,4.4,8/1/2016
Women,2016,M09,Sep,4.4,9/1/2016
Women,2016,M10,Oct,4.4,10/1/2016
Women,2016,M11,Nov,4.3,11/1/2016
Women,2016,M12,Dec,4.3,12/1/2016
Women,2017,M01,Jan,4.3,1/1/2017
Women,2017,M02,Feb,4.2,2/1/2017
Women,2017,M03,Mar,4,3/1/2017
Women,2017,M04,Apr,4.1,4/1/2017
Women,2017,M05,May,4.1,5/1/2017
Women,2017,M06,Jun,3.9,6/1/2017
Women,2017,M07,Jul,3.9,7/1/2017
Women,2017,M08,Aug,4,8/1/2017
Women,2017,M09,Sep,3.9,9/1/2017
Women,2017,M10,Oct,3.7,10/1/2017
Women,2017,M11,Nov,3.7,11/1/2017
Women,2017,M12,Dec,3.8,12/1/2017
Women,2018,M01,Jan,3.6,1/1/2018
Women,2018,M02,Feb,3.8,2/1/2018
Women,2018,M03,Mar,3.7,3/1/2018
Women,2018,M04,Apr,3.6,4/1/2018
Women,2018,M05,May,3.4,5/1/2018
Women,2018,M06,Jun,3.6,6/1/2018
Women,2018,M07,Jul,3.6,7/1/2018
Women,2018,M08,Aug,3.5,8/1/2018
Women,2018,M09,Sep,3.3,9/1/2018
Women,2018,M10,Oct,3.4,10/1/2018
Women,2018,M11,Nov,3.5,11/1/2018
Women,2018,M12,Dec,3.5,12/1/2018
Women,2019,M01,Jan,3.6,1/1/2019
Women,2019,M02,Feb,3.4,2/1/2019
Women,2019,M03,Mar,3.4,3/1/2019
Women,2019,M04,Apr,3.2,4/1/2019
Women,2019,M05,May,3.3,5/1/2019
Women,2019,M06,Jun,3.3,6/1/2019
Women,2019,M07,Jul,3.3,7/1/2019
Women,2019,M08,Aug,3.3,8/1/2019
Women,2019,M09,Sep,3.1,9/1/2019
Women,2019,M10,Oct,3.2,10/1/2019
Women,2019,M11,Nov,3.3,11/1/2019
Women,2019,M12,Dec,3.3,12/1/2019
Women,2020,M01,Jan,3.2,1/1/2020
Women,2020,M02,Feb,3.1,2/1/2020
Women,2020,M03,Mar,4,3/1/2020
Women,2020,M04,Apr,15.4,4/1/2020
Women,2020,M05,May,13.8,5/1/2020
Women,2020,M06,Jun,11.2,6/1/2020
Women,2020,M07,Jul,10.4,7/1/2020
Women,2020,M08,Aug,8.3,8/1/2020
Women,2020,M09,Sep,7.8,9/1/2020
Women,2020,M10,Oct,6.5,10/1/2020
Women,2020,M11,Nov,6.2,11/1/2020
Women,2020,M12,Dec,6.3,12/1/2020
Women,2021,M01,Jan,6,1/1/2021
Women,2021,M02,Feb,5.9,2/1/2021
Women,2021,M03,Mar,5.7,3/1/2021
Women,2021,M04,Apr,5.6,4/1/2021
Women,2021,M05,May,5.3,5/1/2021
Women,2021,M06,Jun,5.5,6/1/2021
Women,2021,M07,Jul,5,7/1/2021
Women,2021,M08,Aug,4.8,8/1/2021
Women,2021,M09,Sep,4.3,9/1/2021
Women,2021,M10,Oct,4.3,10/1/2021
Women,2021,M11,Nov,3.9,11/1/2021
Women,2021,M12,Dec,3.6,12/1/2021
Men,2010,M01,Jan,10.2,1/1/2010
Men,2010,M02,Feb,10.3,2/1/2010
Men,2010,M03,Mar,10.2,3/1/2010
Men,2010,M04,Apr,10.2,4/1/2010
Men,2010,M05,May,9.7,5/1/2010
Men,2010,M06,Jun,9.7,6/1/2010
Men,2010,M07,Jul,9.6,7/1/2010
Men,2010,M08,Aug,9.6,8/1/2010
Men,2010,M09,Sep,9.6,9/1/2010
Men,2010,M10,Oct,9.4,10/1/2010
Men,2010,M11,Nov,9.9,11/1/2010
Men,2010,M12,Dec,9.4,12/1/2010
Men,2011,M01,Jan,9,1/1/2011
Men,2011,M02,Feb,8.9,2/1/2011
Men,2011,M03,Mar,8.8,3/1/2011
Men,2011,M04,Apr,8.9,4/1/2011
Men,2011,M05,May,8.8,5/1/2011
Men,2011,M06,Jun,9,6/1/2011
Men,2011,M07,Jul,8.8,7/1/2011
Men,2011,M08,Aug,8.7,8/1/2011
Men,2011,M09,Sep,8.7,9/1/2011
Men,2011,M10,Oct,8.6,10/1/2011
Men,2011,M11,Nov,8.2,11/1/2011
Men,2011,M12,Dec,8,12/1/2011
Men,2012,M01,Jan,7.7,1/1/2012
Men,2012,M02,Feb,7.7,2/1/2012
Men,2012,M03,Mar,7.7,3/1/2012
Men,2012,M04,Apr,7.6,4/1/2012
Men,2012,M05,May,7.7,5/1/2012
Men,2012,M06,Jun,7.7,6/1/2012
Men,2012,M07,Jul,7.7,7/1/2012
Men,2012,M08,Aug,7.6,8/1/2012
Men,2012,M09,Sep,7.3,9/1/2012
Men,2012,M10,Oct,7.2,10/1/2012
Men,2012,M11,Nov,7.2,11/1/2012
Men,2012,M12,Dec,7.2,12/1/2012
Men,2013,M01,Jan,7.5,1/1/2013
Men,2013,M02,Feb,7,2/1/2013
Men,2013,M03,Mar,6.9,3/1/2013
Men,2013,M04,Apr,7.2,4/1/2013
Men,2013,M05,May,7.1,5/1/2013
Men,2013,M06,Jun,7,6/1/2013
Men,2013,M07,Jul,7,7/1/2013
Men,2013,M08,Aug,7.1,8/1/2013
Men,2013,M09,Sep,7.1,9/1/2013
Men,2013,M10,Oct,6.9,10/1/2013
Men,2013,M11,Nov,6.6,11/1/2013
Men,2013,M12,Dec,6.3,12/1/2013
Men,2014,M01,Jan,6.2,1/1/2014
Men,2014,M02,Feb,6.3,2/1/2014
Men,2014,M03,Mar,6.1,3/1/2014
Men,2014,M04,Apr,5.9,4/1/2014
Men,2014,M05,May,5.9,5/1/2014
Men,2014,M06,Jun,5.7,6/1/2014
Men,2014,M07,Jul,5.7,7/1/2014
Men,2014,M08,Aug,5.7,8/1/2014
Men,2014,M09,Sep,5.3,9/1/2014
Men,2014,M10,Oct,5.1,10/1/2014
Men,2014,M11,Nov,5.4,11/1/2014
Men,2014,M12,Dec,5.2,12/1/2014
Men,2015,M01,Jan,5.3,1/1/2015
Men,2015,M02,Feb,5.2,2/1/2015
Men,2015,M03,Mar,5.1,3/1/2015
Men,2015,M04,Apr,5,4/1/2015
Men,2015,M05,May,5.2,5/1/2015
Men,2015,M06,Jun,4.8,6/1/2015
Men,2015,M07,Jul,4.8,7/1/2015
Men,2015,M08,Aug,4.7,8/1/2015
Men,2015,M09,Sep,4.7,9/1/2015
Men,2015,M10,Oct,4.7,10/1/2015
Men,2015,M11,Nov,4.8,11/1/2015
Men,2015,M12,Dec,4.6,12/1/2015
Men,2016,M01,Jan,4.3,1/1/2016
Men,2016,M02,Feb,4.4,2/1/2016
Men,2016,M03,Mar,4.5,3/1/2016
Men,2016,M04,Apr,4.7,4/1/2016
Men,2016,M05,May,4.4,5/1/2016
Men,2016,M06,Jun,4.5,6/1/2016
Men,2016,M07,Jul,4.7,7/1/2016
Men,2016,M08,Aug,4.5,8/1/2016
Men,2016,M09,Sep,4.7,9/1/2016
Men,2016,M10,Oct,4.6,10/1/2016
Men,2016,M11,Nov,4.4,11/1/2016
Men,2016,M12,Dec,4.4,12/1/2016
Men,2017,M01,Jan,4.3,1/1/2017
Men,2017,M02,Feb,4.2,2/1/2017
Men,2017,M03,Mar,4.2,3/1/2017
Men,2017,M04,Apr,3.9,4/1/2017
Men,2017,M05,May,3.9,5/1/2017
Men,2017,M06,Jun,3.9,6/1/2017
Men,2017,M07,Jul,4,7/1/2017
Men,2017,M08,Aug,4.1,8/1/2017
Men,2017,M09,Sep,3.9,9/1/2017
Men,2017,M10,Oct,3.9,10/1/2017
Men,2017,M11,Nov,3.8,11/1/2017
Men,2017,M12,Dec,3.8,12/1/2017
Men,2018,M01,Jan,3.7,1/1/2018
Men,2018,M02,Feb,3.6,2/1/2018
Men,2018,M03,Mar,3.6,3/1/2018
Men,2018,M04,Apr,3.7,4/1/2018
Men,2018,M05,May,3.6,5/1/2018
Men,2018,M06,Jun,3.7,6/1/2018
Men,2018,M07,Jul,3.4,7/1/2018
Men,2018,M08,Aug,3.5,8/1/2018
Men,2018,M09,Sep,3.5,9/1/2018
Men,2018,M10,Oct,3.6,10/1/2018
Men,2018,M11,Nov,3.4,11/1/2018
Men,2018,M12,Dec,3.6,12/1/2018
Men,2019,M01,Jan,3.7,1/1/2019
Men,2019,M02,Feb,3.4,2/1/2019
Men,2019,M03,Mar,3.5,3/1/2019
Men,2019,M04,Apr,3.4,4/1/2019
Men,2019,M05,May,3.3,5/1/2019
Men,2019,M06,Jun,3.3,6/1/2019
Men,2019,M07,Jul,3.3,7/1/2019
Men,2019,M08,Aug,3.4,8/1/2019
Men,2019,M09,Sep,3.3,9/1/2019
Men,2019,M10,Oct,3.4,10/1/2019
Men,2019,M11,Nov,3.3,11/1/2019
Men,2019,M12,Dec,3.2,12/1/2019
Men,2020,M01,Jan,3.2,1/1/2020
Men,2020,M02,Feb,3.2,2/1/2020
Men,2020,M03,Mar,4.1,3/1/2020
Men,2020,M04,Apr,13,4/1/2020
Men,2020,M05,May,11.5,5/1/2020
Men,2020,M06,Jun,10.1,6/1/2020
Men,2020,M07,Jul,9.3,7/1/2020
Men,2020,M08,Aug,7.9,8/1/2020
Men,2020,M09,Sep,7.4,9/1/2020
Men,2020,M10,Oct,6.7,10/1/2020
Men,2020,M11,Nov,6.7,11/1/2020
Men,2020,M12,Dec,6.4,12/1/2020
Men,2021,M01,Jan,6.1,1/1/2021
Men,2021,M02,Feb,6,2/1/2021
Men,2021,M03,Mar,5.8,3/1/2021
Men,2021,M04,Apr,6,4/1/2021
Men,2021,M05,May,5.8,5/1/2021
Men,2021,M06,Jun,5.9,6/1/2021
Men,2021,M07,Jul,5.3,7/1/2021
Men,2021,M08,Aug,5.1,8/1/2021
Men,2021,M09,Sep,4.7,9/1/2021
Men,2021,M10,Oct,4.3,10/1/2021
Men,2021,M11,Nov,3.9,11/1/2021
Men,2021,M12,Dec,3.6,12/1/2021
National Avg,2010,M01,Jan,9.8,1/1/2010
National Avg,2010,M02,Feb,9.8,2/1/2010
National Avg,2010,M03,Mar,9.9,3/1/2010
National Avg,2010,M04,Apr,9.9,4/1/2010
National Avg,2010,M05,May,9.6,5/1/2010
National Avg,2010,M06,Jun,9.4,6/1/2010
National Avg,2010,M07,Jul,9.4,7/1/2010
National Avg,2010,M08,Aug,9.5,8/1/2010
National Avg,2010,M09,Sep,9.5,9/1/2010
National Avg,2010,M10,Oct,9.4,10/1/2010
National Avg,2010,M11,Nov,9.8,11/1/2010
National Avg,2010,M12,Dec,9.3,12/1/2010
National Avg,2011,M01,Jan,9.1,1/1/2011
National Avg,2011,M02,Feb,9,2/1/2011
National Avg,2011,M03,Mar,9,3/1/2011
National Avg,2011,M04,Apr,9.1,4/1/2011
National Avg,2011,M05,May,9,5/1/2011
National Avg,2011,M06,Jun,9.1,6/1/2011
National Avg,2011,M07,Jul,9,7/1/2011
National Avg,2011,M08,Aug,9,8/1/2011
National Avg,2011,M09,Sep,9,9/1/2011
National Avg,2011,M10,Oct,8.8,10/1/2011
National Avg,2011,M11,Nov,8.6,11/1/2011
National Avg,2011,M12,Dec,8.5,12/1/2011
National Avg,2012,M01,Jan,8.3,1/1/2012
National Avg,2012,M02,Feb,8.3,2/1/2012
National Avg,2012,M03,Mar,8.2,3/1/2012
National Avg,2012,M04,Apr,8.2,4/1/2012
National Avg,2012,M05,May,8.2,5/1/2012
National Avg,2012,M06,Jun,8.2,6/1/2012
National Avg,2012,M07,Jul,8.2,7/1/2012
National Avg,2012,M08,Aug,8.1,8/1/2012
National Avg,2012,M09,Sep,7.8,9/1/2012
National Avg,2012,M10,Oct,7.8,10/1/2012
National Avg,2012,M11,Nov,7.7,11/1/2012
National Avg,2012,M12,Dec,7.9,12/1/2012
National Avg,2013,M01,Jan,8,1/1/2013
National Avg,2013,M02,Feb,7.7,2/1/2013
National Avg,2013,M03,Mar,7.5,3/1/2013
National Avg,2013,M04,Apr,7.6,4/1/2013
National Avg,2013,M05,May,7.5,5/1/2013
National Avg,2013,M06,Jun,7.5,6/1/2013
National Avg,2013,M07,Jul,7.3,7/1/2013
National Avg,2013,M08,Aug,7.2,8/1/2013
National Avg,2013,M09,Sep,7.2,9/1/2013
National Avg,2013,M10,Oct,7.2,10/1/2013
National Avg,2013,M11,Nov,6.9,11/1/2013
National Avg,2013,M12,Dec,6.7,12/1/2013
National Avg,2014,M01,Jan,6.6,1/1/2014
National Avg,2014,M02,Feb,6.7,2/1/2014
National Avg,2014,M03,Mar,6.7,3/1/2014
National Avg,2014,M04,Apr,6.2,4/1/2014
National Avg,2014,M05,May,6.3,5/1/2014
National Avg,2014,M06,Jun,6.1,6/1/2014
National Avg,2014,M07,Jul,6.2,7/1/2014
National Avg,2014,M08,Aug,6.1,8/1/2014
National Avg,2014,M09,Sep,5.9,9/1/2014
National Avg,2014,M10,Oct,5.7,10/1/2014
National Avg,2014,M11,Nov,5.8,11/1/2014
National Avg,2014,M12,Dec,5.6,12/1/2014
National Avg,2015,M01,Jan,5.7,1/1/2015
National Avg,2015,M02,Feb,5.5,2/1/2015
National Avg,2015,M03,Mar,5.4,3/1/2015
National Avg,2015,M04,Apr,5.4,4/1/2015
National Avg,2015,M05,May,5.6,5/1/2015
National Avg,2015,M06,Jun,5.3,6/1/2015
National Avg,2015,M07,Jul,5.2,7/1/2015
National Avg,2015,M08,Aug,5.1,8/1/2015
National Avg,2015,M09,Sep,5,9/1/2015
National Avg,2015,M10,Oct,5,10/1/2015
National Avg,2015,M11,Nov,5.1,11/1/2015
National Avg,2015,M12,Dec,5,12/1/2015
National Avg,2016,M01,Jan,4.8,1/1/2016
National Avg,2016,M02,Feb,4.9,2/1/2016
National Avg,2016,M03,Mar,5,3/1/2016
National Avg,2016,M04,Apr,5.1,4/1/2016
National Avg,2016,M05,May,4.8,5/1/2016
National Avg,2016,M06,Jun,4.9,6/1/2016
National Avg,2016,M07,Jul,4.8,7/1/2016
National Avg,2016,M08,Aug,4.9,8/1/2016
National Avg,2016,M09,Sep,5,9/1/2016
National Avg,2016,M10,Oct,4.9,10/1/2016
National Avg,2016,M11,Nov,4.7,11/1/2016
National Avg,2016,M12,Dec,4.7,12/1/2016
National Avg,2017,M01,Jan,4.7,1/1/2017
National Avg,2017,M02,Feb,4.6,2/1/2017
National Avg,2017,M03,Mar,4.4,3/1/2017
National Avg,2017,M04,Apr,4.4,4/1/2017
National Avg,2017,M05,May,4.4,5/1/2017
National Avg,2017,M06,Jun,4.3,6/1/2017
National Avg,2017,M07,Jul,4.3,7/1/2017
National Avg,2017,M08,Aug,4.4,8/1/2017
National Avg,2017,M09,Sep,4.3,9/1/2017
National Avg,2017,M10,Oct,4.2,10/1/2017
National Avg,2017,M11,Nov,4.2,11/1/2017
National Avg,2017,M12,Dec,4.1,12/1/2017
National Avg,2018,M01,Jan,4,1/1/2018
National Avg,2018,M02,Feb,4.1,2/1/2018
National Avg,2018,M03,Mar,4,3/1/2018
National Avg,2018,M04,Apr,4,4/1/2018
National Avg,2018,M05,May,3.8,5/1/2018
National Avg,2018,M06,Jun,4,6/1/2018
National Avg,2018,M07,Jul,3.8,7/1/2018
National Avg,2018,M08,Aug,3.8,8/1/2018
National Avg,2018,M09,Sep,3.7,9/1/2018
National Avg,2018,M10,Oct,3.8,10/1/2018
National Avg,2018,M11,Nov,3.8,11/1/2018
National Avg,2018,M12,Dec,3.9,12/1/2018
National Avg,2019,M01,Jan,4,1/1/2019
National Avg,2019,M02,Feb,3.8,2/1/2019
National Avg,2019,M03,Mar,3.8,3/1/2019
National Avg,2019,M04,Apr,3.6,4/1/2019
National Avg,2019,M05,May,3.6,5/1/2019
National Avg,2019,M06,Jun,3.6,6/1/2019
National Avg,2019,M07,Jul,3.7,7/1/2019
National Avg,2019,M08,Aug,3.7,8/1/2019
National Avg,2019,M09,Sep,3.5,9/1/2019
National Avg,2019,M10,Oct,3.6,10/1/2019
National Avg,2019,M11,Nov,3.6,11/1/2019
National Avg,2019,M12,Dec,3.6,12/1/2019
National Avg,2020,M01,Jan,3.5,1/1/2020
National Avg,2020,M02,Feb,3.5,2/1/2020
National Avg,2020,M03,Mar,4.4,3/1/2020
National Avg,2020,M04,Apr,14.7,4/1/2020
National Avg,2020,M05,May,13.2,5/1/2020
National Avg,2020,M06,Jun,11,6/1/2020
National Avg,2020,M07,Jul,10.2,7/1/2020
National Avg,2020,M08,Aug,8.4,8/1/2020
National Avg,2020,M09,Sep,7.9,9/1/2020
National Avg,2020,M10,Oct,6.9,10/1/2020
National Avg,2020,M11,Nov,6.7,11/1/2020
National Avg,2020,M12,Dec,6.7,12/1/2020
National Avg,2021,M01,Jan,6.4,1/1/2021
National Avg,2021,M02,Feb,6.2,2/1/2021
National Avg,2021,M03,Mar,6,3/1/2021
National Avg,2021,M04,Apr,6,4/1/2021
National Avg,2021,M05,May,5.8,5/1/2021
National Avg,2021,M06,Jun,5.9,6/1/2021
National Avg,2021,M07,Jul,5.4,7/1/2021
National Avg,2021,M08,Aug,5.2,8/1/2021
National Avg,2021,M09,Sep,4.7,9/1/2021
National Avg,2021,M10,Oct,4.6,10/1/2021
National Avg,2021,M11,Nov,4.2,11/1/2021
National Avg,2021,M12,Dec,3.9,12/1/2021
