Demographic,Year,Period,Month,Unemployment_rate,date
African American,2019,M10,Oct,5.6,10/1/2019
African American,2019,M11,Nov,5.6,11/1/2019
African American,2019,M12,Dec,6,12/1/2019
African American,2020,M01,Jan,6.3,1/1/2020
African American,2020,M02,Feb,6,2/1/2020
African American,2020,M03,Mar,6.8,3/1/2020
African American,2020,M04,Apr,16.6,4/1/2020
African American,2020,M05,May,16.8,5/1/2020
African American,2020,M06,Jun,15.2,6/1/2020
African American,2020,M07,Jul,14.4,7/1/2020
African American,2020,M08,Aug,12.8,8/1/2020
African American,2020,M09,Sep,12.1,9/1/2020
African American,2020,M10,Oct,10.9,10/1/2020
African American,2020,M11,Nov,10.4,11/1/2020
African American,2020,M12,Dec,10,12/1/2020
African American,2021,M01,Jan,9.2,1/1/2021
African American,2021,M02,Feb,9.8,2/1/2021
African American,2021,M03,Mar,9.5,3/1/2021
African American,2021,M04,Apr,9.7,4/1/2021
African American,2021,M05,May,9.1,5/1/2021
African American,2021,M06,Jun,9.2,6/1/2021
African American,2021,M07,Jul,8.2,7/1/2021
African American,2021,M08,Aug,8.7,8/1/2021
African American,2021,M09,Sep,7.8,9/1/2021
African American,2021,M10,Oct,7.8,10/1/2021
African American,2021,M11,Nov,6.5,11/1/2021
African American,2021,M12,Dec,7.1,12/1/2021
Asian,2010,M01,Jan,8.3,1/1/2010
Asian,2010,M02,Feb,8.2,2/1/2010
Asian,2010,M03,Mar,7.6,3/1/2010
Asian,2010,M04,Apr,7,4/1/2010
Asian,2010,M05,May,7.8,5/1/2010
Asian,2010,M06,Jun,7.4,6/1/2010
Asian,2010,M07,Jul,7.9,7/1/2010
Asian,2010,M08,Aug,7.3,8/1/2010
Asian,2010,M09,Sep,6.6,9/1/2010
Asian,2010,M10,Oct,7.2,10/1/2010
Asian,2010,M11,Nov,7.5,11/1/2010
Asian,2010,M12,Dec,7.2,12/1/2010
Asian,2011,M01,Jan,6.8,1/1/2011
Asian,2011,M02,Feb,6.7,2/1/2011
Asian,2011,M03,Mar,7.3,3/1/2011
Asian,2011,M04,Apr,6.5,4/1/2011
Asian,2011,M05,May,7.2,5/1/2011
Asian,2011,M06,Jun,6.5,6/1/2011
Asian,2011,M07,Jul,7.4,7/1/2011
Asian,2011,M08,Aug,7.2,8/1/2011
Asian,2011,M09,Sep,8,9/1/2011
Asian,2011,M10,Oct,7.4,10/1/2011
Asian,2011,M11,Nov,6.4,11/1/2011
Asian,2011,M12,Dec,6.8,12/1/2011
Asian,2012,M01,Jan,6.7,1/1/2012
Asian,2012,M02,Feb,6.2,2/1/2012
Asian,2012,M03,Mar,6.4,3/1/2012
Asian,2012,M04,Apr,5.4,4/1/2012
Asian,2012,M05,May,5.5,5/1/2012
Asian,2012,M06,Jun,6.1,6/1/2012
Asian,2012,M07,Jul,5.9,7/1/2012
Asian,2012,M08,Aug,5.9,8/1/2012
Asian,2012,M09,Sep,4.9,9/1/2012
Asian,2012,M10,Oct,4.9,10/1/2012
Asian,2012,M11,Nov,6.3,11/1/2012
Asian,2012,M12,Dec,6.6,12/1/2012
Asian,2013,M01,Jan,6.4,1/1/2013
Asian,2013,M02,Feb,6,2/1/2013
Asian,2013,M03,Mar,5.1,3/1/2013
Asian,2013,M04,Apr,5.3,4/1/2013
Asian,2013,M05,May,4.5,5/1/2013
Asian,2013,M06,Jun,4.7,6/1/2013
Asian,2013,M07,Jul,5.3,7/1/2013
Asian,2013,M08,Aug,5.1,8/1/2013
Asian,2013,M09,Sep,5.4,9/1/2013
Asian,2013,M10,Oct,5.4,10/1/2013
Asian,2013,M11,Nov,5.2,11/1/2013
Asian,2013,M12,Dec,4.3,12/1/2013
Asian,2014,M01,Jan,4.7,1/1/2014
Asian,2014,M02,Feb,5.9,2/1/2014
Asian,2014,M03,Mar,5.5,3/1/2014
Asian,2014,M04,Apr,5.9,4/1/2014
Asian,2014,M05,May,5.7,5/1/2014
Asian,2014,M06,Jun,4.7,6/1/2014
Asian,2014,M07,Jul,4.2,7/1/2014
Asian,2014,M08,Aug,4.5,8/1/2014
Asian,2014,M09,Sep,4.4,9/1/2014
Asian,2014,M10,Oct,5.1,10/1/2014
Asian,2014,M11,Nov,4.8,11/1/2014
Asian,2014,M12,Dec,4.4,12/1/2014
Asian,2015,M01,Jan,4,1/1/2015
Asian,2015,M02,Feb,4,2/1/2015
Asian,2015,M03,Mar,3.2,3/1/2015
Asian,2015,M04,Apr,4.4,4/1/2015
Asian,2015,M05,May,4.1,5/1/2015
Asian,2015,M06,Jun,3.9,6/1/2015
Asian,2015,M07,Jul,3.9,7/1/2015
Asian,2015,M08,Aug,3.4,8/1/2015
Asian,2015,M09,Sep,3.5,9/1/2015
Asian,2015,M10,Oct,3.5,10/1/2015
Asian,2015,M11,Nov,3.9,11/1/2015
Asian,2015,M12,Dec,4.1,12/1/2015
Asian,2016,M01,Jan,3.6,1/1/2016
Asian,2016,M02,Feb,3.8,2/1/2016
Asian,2016,M03,Mar,3.9,3/1/2016
Asian,2016,M04,Apr,3.8,4/1/2016
Asian,2016,M05,May,4.1,5/1/2016
Asian,2016,M06,Jun,3.6,6/1/2016
Asian,2016,M07,Jul,3.8,7/1/2016
Asian,2016,M08,Aug,4.1,8/1/2016
Asian,2016,M09,Sep,3.8,9/1/2016
Asian,2016,M10,Oct,3.4,10/1/2016
Asian,2016,M11,Nov,3.1,11/1/2016
Asian,2016,M12,Dec,2.7,12/1/2016
Asian,2017,M01,Jan,3.6,1/1/2017
Asian,2017,M02,Feb,3.5,2/1/2017
Asian,2017,M03,Mar,3.2,3/1/2017
Asian,2017,M04,Apr,3.3,4/1/2017
Asian,2017,M05,May,3.6,5/1/2017
Asian,2017,M06,Jun,3.7,6/1/2017
Asian,2017,M07,Jul,3.7,7/1/2017
Asian,2017,M08,Aug,3.9,8/1/2017
Asian,2017,M09,Sep,3.6,9/1/2017
Asian,2017,M10,Oct,3,10/1/2017
Asian,2017,M11,Nov,3.1,11/1/2017
Asian,2017,M12,Dec,2.6,12/1/2017
Asian,2018,M01,Jan,2.9,1/1/2018
Asian,2018,M02,Feb,3,2/1/2018
Asian,2018,M03,Mar,3,3/1/2018
Asian,2018,M04,Apr,2.9,4/1/2018
Asian,2018,M05,May,2.2,5/1/2018
Asian,2018,M06,Jun,3.3,6/1/2018
Asian,2018,M07,Jul,3,7/1/2018
Asian,2018,M08,Aug,2.9,8/1/2018
Asian,2018,M09,Sep,3.5,9/1/2018
Asian,2018,M10,Oct,3.2,10/1/2018
Asian,2018,M11,Nov,2.9,11/1/2018
Asian,2018,M12,Dec,3.4,12/1/2018
Asian,2019,M01,Jan,3,1/1/2019
Asian,2019,M02,Feb,3.1,2/1/2019
Asian,2019,M03,Mar,3,3/1/2019
Asian,2019,M04,Apr,2.3,4/1/2019
Asian,2019,M05,May,2.5,5/1/2019
Asian,2019,M06,Jun,2.1,6/1/2019
Asian,2019,M07,Jul,2.7,7/1/2019
Asian,2019,M08,Aug,2.8,8/1/2019
Asian,2019,M09,Sep,2.5,9/1/2019
Asian,2019,M10,Oct,2.9,10/1/2019
Asian,2019,M11,Nov,2.7,11/1/2019
Asian,2019,M12,Dec,2.7,12/1/2019
Asian,2020,M01,Jan,3,1/1/2020
Asian,2020,M02,Feb,2.5,2/1/2020
Asian,2020,M03,Mar,4.1,3/1/2020
Asian,2020,M04,Apr,14.4,4/1/2020
Asian,2020,M05,May,14.8,5/1/2020
Asian,2020,M06,Jun,13.8,6/1/2020
Asian,2020,M07,Jul,11.9,7/1/2020
Asian,2020,M08,Aug,10.6,8/1/2020
Asian,2020,M09,Sep,8.9,9/1/2020
Asian,2020,M10,Oct,7.6,10/1/2020
Asian,2020,M11,Nov,6.8,11/1/2020
Asian,2020,M12,Dec,6.1,12/1/2020
Asian,2021,M01,Jan,6.6,1/1/2021
Asian,2021,M02,Feb,5.1,2/1/2021
Asian,2021,M03,Mar,5.9,3/1/2021
Asian,2021,M04,Apr,5.7,4/1/2021
Asian,2021,M05,May,5.5,5/1/2021
